TLD,WHOIS,TYPE,NATIVE,MANAGER
aaa,whois.nic.aaa,generic,aaa,"American Automobile Association, Inc."
aarp,whois.nic.aarp,generic,aarp,AARP
abarth,whois.nic.abarth,generic,abarth,Fiat Chrysler Automobiles N.V.
abb,whois.nic.abb,generic,abb,ABB Ltd
abbott,whois.nic.abbott,generic,abbott,"Abbott Laboratories, Inc."
abbvie,whois.nic.abbvie,generic,abbvie,AbbVie Inc.
abc,whois.nic.abc,generic,abc,"Disney Enterprises, Inc."
able,whois.nic.able,generic,able,Able Inc.
abogado,whois.nic.abogado,generic,abogado,Top Level Domain Holdings Limited
abudhabi,whois.nic.abudhabi,generic,abudhabi,Abu Dhabi Systems and Information Centre
ac,whois.nic.ac,country-code,ac,Network Information Center (AC Domain Registry) c/o Cable and Wireless (Ascension Island)
academy,whois.donuts.co,generic,academy,"Binky Moon, LLC"
accenture,whois.nic.accenture,generic,accenture,Accenture plc
accountant,whois.nic.accountant,generic,accountant,dot Accountant Limited
accountants,whois.donuts.co,generic,accountants,"Binky Moon, LLC"
aco,whois.nic.aco,generic,aco,ACO Severin Ahlmann GmbH & Co. KG
active,whois.nic.active,generic,active,"Active Network, LLC"
actor,whois.donuts.co,generic,actor,United TLD Holdco Ltd.
ad,,country-code,ad,Andorra Telecom
adac,whois.nic.adac,generic,adac,Allgemeiner Deutscher Automobil-Club e.V. (ADAC)
ads,whois.nic.ads,generic,ads,Charleston Road Registry Inc.
adult,whois.nic.adult,generic,adult,ICM Registry AD LLC
ae,whois.aeda.net.ae,country-code,ae,Telecommunication Regulatory Authority (TRA)
aeg,whois.nic.aeg,generic,aeg,Aktiebolaget Electrolux
aero,whois.aero,sponsored,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
aetna,whois.nic.aetna,generic,aetna,Aetna Life Insurance Company
af,whois.nic.af,country-code,af,Ministry of Communications and IT
afamilycompany,whois.nic.afamilycompany,generic,afamilycompany,"Johnson Shareholdings, Inc."
afl,whois.nic.afl,generic,afl,Australian Football League
africa,whois.nic.africa,generic,africa,ZA Central Registry NPC trading as Registry.Africa
ag,whois.nic.ag,country-code,ag,UHSA School of Medicine
agakhan,whois.nic.agakhan,generic,agakhan,Fondation Aga Khan (Aga Khan Foundation)
agency,whois.donuts.co,generic,agency,"Binky Moon, LLC"
ai,whois.nic.ai,country-code,ai,Government of Anguilla
aig,whois.nic.aig,generic,aig,"American International Group, Inc."
aigo,whois.nic.aigo,generic,aigo,"aigo Digital Technology Co,Ltd."
airbus,whois.nic.airbus,generic,airbus,Airbus S.A.S.
airforce,whois.donuts.co,generic,airforce,United TLD Holdco Ltd.
airtel,whois.nic.airtel,generic,airtel,Bharti Airtel Limited
akdn,whois.nic.akdn,generic,akdn,Fondation Aga Khan (Aga Khan Foundation)
al,,country-code,al,Electronic and Postal Communications Authority - AKEP
alfaromeo,whois.nic.alfaromeo,generic,alfaromeo,Fiat Chrysler Automobiles N.V.
alibaba,whois.nic.alibaba,generic,alibaba,Alibaba Group Holding Limited
alipay,whois.nic.alipay,generic,alipay,Alibaba Group Holding Limited
allfinanz,whois.nic.allfinanz,generic,allfinanz,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft
allstate,whois.nic.allstate,generic,allstate,Allstate Fire and Casualty Insurance Company
ally,whois.nic.ally,generic,ally,Ally Financial Inc.
alsace,whois.nic.alsace,generic,alsace,REGION GRAND EST
alstom,whois.nic.alstom,generic,alstom,ALSTOM
am,whois.amnic.net,country-code,am,"""Internet Society"" Non-governmental Organization"
americanexpress,whois.nic.americanexpress,generic,americanexpress,"American Express Travel Related Services Company, Inc."
americanfamily,whois.nic.americanfamily,generic,americanfamily,"AmFam, Inc."
amex,whois.nic.amex,generic,amex,"American Express Travel Related Services Company, Inc."
amfam,whois.nic.amfam,generic,amfam,"AmFam, Inc."
amica,whois.nic.amica,generic,amica,Amica Mutual Insurance Company
amsterdam,whois.nic.amsterdam,generic,amsterdam,Gemeente Amsterdam
an,,country-code,an,Retired
analytics,whois.nic.analytics,generic,analytics,Campus IP LLC
android,whois.nic.android,generic,android,Charleston Road Registry Inc.
anquan,whois.nic.anquan,generic,anquan,QIHOO 360 TECHNOLOGY CO. LTD.
anz,whois.nic.anz,generic,anz,Australia and New Zealand Banking Group Limited
ao,,country-code,ao,Faculdade de Engenharia da Universidade Agostinho Neto
aol,whois.nic.aol,generic,aol,OATH Inc.
apartments,whois.donuts.co,generic,apartments,"Binky Moon, LLC"
app,whois.nic.app,generic,app,Charleston Road Registry Inc.
apple,whois.nic.apple,generic,apple,Apple Inc.
aq,,country-code,aq,Antarctica Network Information Centre Limited
aquarelle,whois.nic.aquarelle,generic,aquarelle,Aquarelle.com
ar,whois.nic.ar,country-code,ar,Presidencia de la Nación – Secretaría Legal y Técnica
arab,whois.nic.arab,generic,arab,League of Arab States
aramco,whois.nic.aramco,generic,aramco,Aramco Services Company
archi,whois.nic.archi,generic,archi,STARTING DOT LIMITED
army,whois.donuts.co,generic,army,United TLD Holdco Ltd.
arpa,whois.iana.org,infrastructure,arpa,Internet Architecture Board (IAB)
art,whois.nic.art,generic,art,UK Creative Ideas Limited
arte,whois.nic.arte,generic,arte,Association Relative à la Télévision Européenne G.E.I.E.
as,whois.nic.as,country-code,as,AS Domain Registry
asda,whois.nic.asda,generic,asda,"Wal-Mart Stores, Inc."
asia,whois.nic.asia,sponsored,asia,DotAsia Organisation Ltd.
associates,whois.donuts.co,generic,associates,"Binky Moon, LLC"
at,whois.nic.at,country-code,at,nic.at GmbH
athleta,whois.nic.athleta,generic,athleta,"The Gap, Inc."
attorney,whois.donuts.co,generic,attorney,"United TLD Holdco, Ltd"
au,whois.audns.net.au,country-code,au,.au Domain Administration (auDA)
auction,whois.donuts.co,generic,auction,"United TLD HoldCo, Ltd."
audi,whois.nic.audi,generic,audi,AUDI Aktiengesellschaft
audible,whois.nic.audible,generic,audible,"Amazon Registry Services, Inc."
audio,whois.nic.audio,generic,audio,"Uniregistry, Corp."
auspost,whois.nic.auspost,generic,auspost,Australian Postal Corporation
author,whois.nic.author,generic,author,"Amazon Registry Services, Inc."
auto,whois.nic.auto,generic,auto,Cars Registry Limited
autos,whois.nic.autos,generic,autos,"DERAutos, LLC"
avianca,whois.nic.avianca,generic,avianca,Aerovias del Continente Americano S.A. Avianca
aw,whois.nic.aw,country-code,aw,SETAR
aws,whois.nic.aws,generic,aws,"Amazon Registry Services, Inc."
ax,whois.ax,country-code,ax,Ålands landskapsregering
axa,whois.nic.axa,generic,axa,AXA SA
az,,country-code,az,IntraNS
azure,whois.nic.azure,generic,azure,Microsoft Corporation
ba,,country-code,ba,Universtiy Telinformatic Centre (UTIC)
baby,whois.nic.baby,generic,baby,"Johnson & Johnson Services, Inc."
baidu,whois.nic.baidu,generic,baidu,"Baidu, Inc."
banamex,whois.nic.banamex,generic,banamex,Citigroup Inc.
bananarepublic,whois.nic.bananarepublic,generic,bananarepublic,"The Gap, Inc."
band,whois.donuts.co,generic,band,"United TLD Holdco, Ltd"
bank,whois.nic.bank,generic,bank,"fTLD Registry Services, LLC"
bar,whois.nic.bar,generic,bar,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
barcelona,whois.nic.barcelona,generic,barcelona,Municipi de Barcelona
barclaycard,whois.nic.barclaycard,generic,barclaycard,Barclays Bank PLC
barclays,whois.nic.barclays,generic,barclays,Barclays Bank PLC
barefoot,whois.nic.barefoot,generic,barefoot,"Gallo Vineyards, Inc."
